"index","max_s","fold"
44,5,1
65,5,1
70,5,1
108,5,1
1,10,1
6,10,1
17,10,1
21,10,1
23,10,1
44,10,1
65,10,1
70,10,1
84,10,1
94,10,1
97,10,1
108,10,1
1,20,1
2,20,1
6,20,1
17,20,1
21,20,1
22,20,1
23,20,1
26,20,1
27,20,1
41,20,1
44,20,1
64,20,1
65,20,1
66,20,1
70,20,1
84,20,1
90,20,1
94,20,1
97,20,1
105,20,1
108,20,1
109,20,1
0,30,1
1,30,1
2,30,1
3,30,1
6,30,1
14,30,1
16,30,1
17,30,1
21,30,1
22,30,1
23,30,1
26,30,1
27,30,1
34,30,1
41,30,1
44,30,1
52,30,1
53,30,1
62,30,1
64,30,1
65,30,1
66,30,1
70,30,1
80,30,1
81,30,1
84,30,1
88,30,1
90,30,1
94,30,1
97,30,1
104,30,1
105,30,1
106,30,1
108,30,1
109,30,1
0,40,1
1,40,1
2,40,1
6,40,1
14,40,1
16,40,1
17,40,1
18,40,1
19,40,1
21,40,1
22,40,1
23,40,1
26,40,1
27,40,1
32,40,1
34,40,1
41,40,1
44,40,1
45,40,1
52,40,1
53,40,1
56,40,1
62,40,1
64,40,1
65,40,1
66,40,1
70,40,1
77,40,1
80,40,1
81,40,1
84,40,1
88,40,1
90,40,1
94,40,1
97,40,1
103,40,1
104,40,1
105,40,1
106,40,1
108,40,1
109,40,1
2,5,2
27,5,2
42,5,2
52,5,2
108,5,2
2,10,2
14,10,2
21,10,2
27,10,2
39,10,2
52,10,2
53,10,2
108,10,2
109,10,2
1,20,2
2,20,2
5,20,2
7,20,2
14,20,2
16,20,2
19,20,2
21,20,2
22,20,2
26,20,2
27,20,2
39,20,2
42,20,2
52,20,2
53,20,2
66,20,2
70,20,2
90,20,2
104,20,2
108,20,2
109,20,2
2,30,2
8,30,2
13,30,2
14,30,2
16,30,2
19,30,2
21,30,2
22,30,2
26,30,2
27,30,2
34,30,2
39,30,2
42,30,2
44,30,2
48,30,2
52,30,2
53,30,2
54,30,2
56,30,2
66,30,2
70,30,2
71,30,2
81,30,2
83,30,2
90,30,2
104,30,2
108,30,2
109,30,2
0,40,2
1,40,2
2,40,2
5,40,2
6,40,2
8,40,2
9,40,2
13,40,2
14,40,2
15,40,2
16,40,2
17,40,2
19,40,2
20,40,2
21,40,2
22,40,2
26,40,2
27,40,2
30,40,2
39,40,2
42,40,2
45,40,2
51,40,2
52,40,2
53,40,2
54,40,2
56,40,2
58,40,2
64,40,2
65,40,2
66,40,2
70,40,2
81,40,2
88,40,2
89,40,2
90,40,2
94,40,2
96,40,2
97,40,2
104,40,2
108,40,2
109,40,2
2,5,3
21,5,3
27,5,3
65,5,3
97,5,3
2,10,3
21,10,3
22,10,3
27,10,3
52,10,3
65,10,3
96,10,3
97,10,3
108,10,3
2,20,3
6,20,3
15,20,3
17,20,3
20,20,3
21,20,3
22,20,3
23,20,3
27,20,3
39,20,3
51,20,3
52,20,3
53,20,3
64,20,3
65,20,3
70,20,3
84,20,3
94,20,3
96,20,3
97,20,3
100,20,3
104,20,3
108,20,3
2,30,3
6,30,3
8,30,3
9,30,3
15,30,3
16,30,3
17,30,3
20,30,3
21,30,3
22,30,3
23,30,3
27,30,3
28,30,3
39,30,3
52,30,3
53,30,3
54,30,3
56,30,3
64,30,3
65,30,3
66,30,3
70,30,3
71,30,3
84,30,3
94,30,3
96,30,3
97,30,3
100,30,3
104,30,3
105,30,3
1,40,3
2,40,3
6,40,3
9,40,3
14,40,3
15,40,3
17,40,3
19,40,3
20,40,3
21,40,3
22,40,3
23,40,3
26,40,3
27,40,3
28,40,3
33,40,3
39,40,3
42,40,3
51,40,3
52,40,3
53,40,3
54,40,3
57,40,3
60,40,3
64,40,3
65,40,3
70,40,3
80,40,3
83,40,3
84,40,3
89,40,3
90,40,3
94,40,3
96,40,3
97,40,3
100,40,3
103,40,3
104,40,3
105,40,3
108,40,3
2,5,4
21,5,4
27,5,4
70,5,4
97,5,4
108,5,4
2,10,4
21,10,4
23,10,4
27,10,4
52,10,4
65,10,4
70,10,4
97,10,4
104,10,4
108,10,4
2,20,4
6,20,4
15,20,4
16,20,4
17,20,4
21,20,4
22,20,4
23,20,4
27,20,4
39,20,4
52,20,4
53,20,4
57,20,4
64,20,4
65,20,4
70,20,4
81,20,4
90,20,4
94,20,4
97,20,4
104,20,4
108,20,4
2,30,4
8,30,4
9,30,4
16,30,4
17,30,4
19,30,4
21,30,4
22,30,4
26,30,4
27,30,4
33,30,4
39,30,4
42,30,4
