"index","max_s","fold","weight"
2,20,1,0.1
3,20,1,0.1
7,20,1,0.1
15,20,1,0.1
18,20,1,0.1
22,20,1,0.1
24,20,1,0.1
28,20,1,0.1
32,20,1,0.1
66,20,1,0.1
67,20,1,0.1
71,20,1,0.1
85,20,1,0.1
91,20,1,0.1
95,20,1,0.1
98,20,1,0.1
99,20,1,0.1
106,20,1,0.1
109,20,1,0.1
110,20,1,0.1
2,20,2,0.1
3,20,2,0.1
6,20,2,0.1
7,20,2,0.1
15,20,2,0.1
20,20,2,0.1
22,20,2,0.1
23,20,2,0.1
28,20,2,0.1
40,20,2,0.1
46,20,2,0.1
54,20,2,0.1
55,20,2,0.1
66,20,2,0.1
67,20,2,0.1
71,20,2,0.1
91,20,2,0.1
98,20,2,0.1
105,20,2,0.1
110,20,2,0.1
2,20,3,0.1
3,20,3,0.1
7,20,3,0.1
15,20,3,0.1
16,20,3,0.1
20,20,3,0.1
22,20,3,0.1
24,20,3,0.1
28,20,3,0.1
40,20,3,0.1
54,20,3,0.1
55,20,3,0.1
66,20,3,0.1
71,20,3,0.1
85,20,3,0.1
91,20,3,0.1
95,20,3,0.1
98,20,3,0.1
105,20,3,0.1
106,20,3,0.1
2,20,4,0.1
3,20,4,0.1
7,20,4,0.1
8,20,4,0.1
15,20,4,0.1
16,20,4,0.1
20,20,4,0.1
22,20,4,0.1
24,20,4,0.1
28,20,4,0.1
53,20,4,0.1
54,20,4,0.1
58,20,4,0.1
66,20,4,0.1
71,20,4,0.1
85,20,4,0.1
91,20,4,0.1
98,20,4,0.1
105,20,4,0.1
109,20,4,0.1
2,20,5,0.1
3,20,5,0.1
7,20,5,0.1
8,20,5,0.1
15,20,5,0.1
20,20,5,0.1
22,20,5,0.1
28,20,5,0.1
40,20,5,0.1
46,20,5,0.1
57,20,5,0.1
58,20,5,0.1
71,20,5,0.1
85,20,5,0.1
91,20,5,0.1
95,20,5,0.1
98,20,5,0.1
105,20,5,0.1
109,20,5,0.1
110,20,5,0.1
2,20,1,10
3,20,1,10
7,20,1,10
15,20,1,10
18,20,1,10
22,20,1,10
23,20,1,10
24,20,1,10
28,20,1,10
32,20,1,10
66,20,1,10
67,20,1,10
71,20,1,10
85,20,1,10
91,20,1,10
95,20,1,10
98,20,1,10
106,20,1,10
109,20,1,10
110,20,1,10
2,20,2,10
3,20,2,10
6,20,2,10
7,20,2,10
15,20,2,10
20,20,2,10
22,20,2,10
23,20,2,10
28,20,2,10
40,20,2,10
46,20,2,10
54,20,2,10
66,20,2,10
67,20,2,10
71,20,2,10
90,20,2,10
91,20,2,10
98,20,2,10
105,20,2,10
110,20,2,10
2,20,3,10
3,20,3,10
7,20,3,10
15,20,3,10
16,20,3,10
18,20,3,10
20,20,3,10
22,20,3,10
23,20,3,10
24,20,3,10
28,20,3,10
40,20,3,10
54,20,3,10
66,20,3,10
71,20,3,10
85,20,3,10
90,20,3,10
91,20,3,10
95,20,3,10
98,20,3,10
2,20,4,10
3,20,4,10
7,20,4,10
8,20,4,10
15,20,4,10
16,20,4,10
20,20,4,10
22,20,4,10
24,20,4,10
28,20,4,10
40,20,4,10
53,20,4,10
54,20,4,10
58,20,4,10
66,20,4,10
71,20,4,10
91,20,4,10
98,20,4,10
105,20,4,10
109,20,4,10
2,20,5,10
3,20,5,10
7,20,5,10
15,20,5,10
20,20,5,10
22,20,5,10
28,20,5,10
34,20,5,10
40,20,5,10
46,20,5,10
58,20,5,10
71,20,5,10
85,20,5,10
90,20,5,10
91,20,5,10
95,20,5,10
98,20,5,10
105,20,5,10
109,20,5,10
110,20,5,10
2,20,1,20
3,20,1,20
7,20,1,20
15,20,1,20
18,20,1,20
20,20,1,20
22,20,1,20
23,20,1,20
24,20,1,20
28,20,1,20
32,20,1,20
66,20,1,20
67,20,1,20
71,20,1,20
85,20,1,20
91,20,1,20
95,20,1,20
98,20,1,20
106,20,1,20
109,20,1,20
2,20,2,20
3,20,2,20
6,20,2,20
7,20,2,20
15,20,2,20
18,20,2,20
20,20,2,20
22,20,2,20
23,20,2,20
28,20,2,20
40,20,2,20
54,20,2,20
66,20,2,20
67,20,2,20
71,20,2,20
90,20,2,20
91,20,2,20
98,20,2,20
105,20,2,20
110,20,2,20
2,20,3,20
3,20,3,20
7,20,3,20
11,20,3,20
12,20,3,20
15,20,3,20
16,20,3,20
18,20,3,20
20,20,3,20
22,20,3,20
23,20,3,20
28,20,3,20
40,20,3,20
58,20,3,20
66,20,3,20
71,20,3,20
85,20,3,20
90,20,3,20
91,20,3,20
98,20,3,20
2,20,4,20
3,20,4,20
7,20,4,20
15,20,4,20
16,20,4,20
18,20,4,20
20,20,4,20
22,20,4,20
23,20,4,20
28,20,4,20
32,20,4,20
40,20,4,20
53,20,4,20
54,20,4,20
58,20,4,20
71,20,4,20
91,20,4,20
98,20,4,20
105,20,4,20
109,20,4,20
2,20,5,20
3,20,5,20
7,20,5,20
15,20,5,20
20,20,5,20
22,20,5,20
28,20,5,20
32,20,5,20
34,20,5,20
40,20,5,20
46,20,5,20
58,20,5,20
71,20,5,20
85,20,5,20
90,20,5,20
91,20,5,20
95,20,5,20
98,20,5,20
105,20,5,20
109,20,5,20
2,20,1,30
3,20,1,30
7,20,1,30
15,20,1,30
18,20,1,30
20,20,1,30
22,20,1,30
23,20,1,30
28,20,1,30
31,20,1,30
32,20,1,30
33,20,1,30
66,20,1,30
71,20,1,30
85,20,1,30
91,20,1,30
95,20,1,30
98,20,1,30
106,20,1,30
109,20,1,30
2,20,2,30
3,20,2,30
6,20,2,30
15,20,2,30
18,20,2,30
20,20,2,30
22,20,2,30
23,20,2,30
28,20,2,30
31,20,2,30
40,20,2,30
54,20,2,30
58,20,2,30
66,20,2,30
71,20,2,30
90,20,2,30
91,20,2,30
98,20,2,30
105,20,2,30
110,20,2,30
2,20,3,30
3,20,3,30
7,20,3,30
11,20,3,30
12,20,3,30
15,20,3,30
16,20,3,30
18,20,3,30
20,20,3,30
22,20,3,30
23,20,3,30
28,20,3,30
40,20,3,30
58,20,3,30
66,20,3,30
71,20,3,30
85,20,3,30
90,20,3,30
91,20,3,30
98,20,3,30
2,20,4,30
3,20,4,30
7,20,4,30
15,20,4,30
16,20,4,30
18,20,4,30
20,20,4,30
22,20,4,30
23,20,4,30
28,20,4,30
32,20,4,30
40,20,4,30
53,20,4,30
54,20,4,30
58,20,4,30
71,20,4,30
91,20,4,30
98,20,4,30
105,20,4,30
109,20,4,30
2,20,5,30
3,20,5,30
7,20,5,30
15,20,5,30
18,20,5,30
20,20,5,30
22,20,5,30
23,20,5,30
28,20,5,30
32,20,5,30
34,20,5,30
40,20,5,30
46,20,5,30
58,20,5,30
71,20,5,30
90,20,5,30
91,20,5,30
98,20,5,30
105,20,5,30
109,20,5,30
2,20,1,40
3,20,1,40
7,20,1,40
15,20,1,40
18,20,1,40
20,20,1,40
22,20,1,40
23,20,1,40
28,20,1,40
31,20,1,40
32,20,1,40
33,20,1,40
34,20,1,40
35,20,1,40
58,20,1,40
66,20,1,40
71,20,1,40
91,20,1,40
92,20,1,40
109,20,1,40
2,20,2,40
3,20,2,40
6,20,2,40
15,20,2,40
18,20,2,40
20,20,2,40
22,20,2,40
23,20,2,40
28,20,2,40
31,20,2,40
32,20,2,40
33,20,2,40
40,20,2,40
58,20,2,40
66,20,2,40
71,20,2,40
90,20,2,40
91,20,2,40
105,20,2,40
110,20,2,40
2,20,3,40
3,20,3,40
7,20,3,40
11,20,3,40
12,20,3,40
15,20,3,40
16,20,3,40
18,20,3,40
20,20,3,40
22,20,3,40
23,20,3,40
28,20,3,40
32,20,3,40
34,20,3,40
40,20,3,40
58,20,3,40
71,20,3,40
90,20,3,40
91,20,3,40
98,20,3,40
2,20,4,40
3,20,4,40
7,20,4,40
15,20,4,40
18,20,4,40
20,20,4,40
22,20,4,40
23,20,4,40
28,20,4,40
31,20,4,40
32,20,4,40
34,20,4,40
40,20,4,40
54,20,4,40
58,20,4,40
71,20,4,40
91,20,4,40
98,20,4,40
105,20,4,40
109,20,4,40
2,20,5,40
3,20,5,40
7,20,5,40
15,20,5,40
18,20,5,40
20,20,5,40
22,20,5,40
23,20,5,40
28,20,5,40
32,20,5,40
34,20,5,40
40,20,5,40
58,20,5,40
71,20,5,40
90,20,5,40
91,20,5,40
92,20,5,40
98,20,5,40
105,20,5,40
109,20,5,40
2,20,1,50
7,20,1,50
12,20,1,50
15,20,1,50
18,20,1,50
20,20,1,50
22,20,1,50
23,20,1,50
28,20,1,50
31,20,1,50
32,20,1,50
33,20,1,50
34,20,1,50
35,20,1,50
58,20,1,50
66,20,1,50
71,20,1,50
91,20,1,50
92,20,1,50
109,20,1,50
2,20,2,50
3,20,2,50
6,20,2,50
15,20,2,50
18,20,2,50
20,20,2,50
22,20,2,50
23,20,2,50
28,20,2,50
31,20,2,50
32,20,2,50
33,20,2,50
35,20,2,50
40,20,2,50
58,20,2,50
66,20,2,50
71,20,2,50
90,20,2,50
91,20,2,50
110,20,2,50
2,20,3,50
3,20,3,50
7,20,3,50
11,20,3,50
12,20,3,50
15,20,3,50
18,20,3,50
20,20,3,50
